id,road_class,osm_surface,frequency,mean_speed
motorway_x_,motorway,,3476,105.14959723800
motorway_x_asphalt,motorway,asphalt,5787,104.64489372700
motorway_x_paved,motorway,paved,269,108.55018587400
motorway_link_x_,motorway_link,,802,54.07107231920
motorway_link_x_asphalt,motorway_link,asphalt,1708,49.90046838410
primary_x_,primary,,9806,63.23281664290
primary_x_asphalt,primary,asphalt,20633,59.28468957500
primary_x_gravel,primary,gravel,136,89.62500000000
primary_x_paved,primary,paved,499,64.37074148300
primary_x_unpaved,primary,unpaved,184,84.51086956520
primary_link_x_,primary_link,,482,41.67012448130
primary_link_x_asphalt,primary_link,asphalt,561,39.59893048130
secondary_x_,secondary,,8410,57.22806183120
secondary_x_asphalt,secondary,asphalt,10878,55.00983636700
secondary_x_gravel,secondary,gravel,264,84.77651515150
secondary_x_paved,secondary,paved,591,60.33840947550
secondary_x_unpaved,secondary,unpaved,277,66.72202166060
secondary_link_x_,secondary_link,,406,37.36453201970
secondary_link_x_asphalt,secondary_link,asphalt,405,39.54320987650
tertiary_x_,tertiary,,5121,50.40460847490
tertiary_x_asphalt,tertiary,asphalt,7565,53.99947124920
tertiary_x_compacted,tertiary,compacted,203,55.22167487680
tertiary_x_gravel,tertiary,gravel,433,75.37413394920
tertiary_x_ground,tertiary,ground,129,40.41085271320
tertiary_x_paved,tertiary,paved,605,58.09586776860
tertiary_x_unpaved,tertiary,unpaved,576,56.90972222220
tertiary_link_x_,tertiary_link,,292,32.70547945210
tertiary_link_x_asphalt,tertiary_link,asphalt,172,37.96511627910
trunk_x_,trunk,,6044,75.23395102580
trunk_x_asphalt,trunk,asphalt,15331,71.29652338400
trunk_x_paved,trunk,paved,1154,83.01559792030
trunk_link_x_,trunk_link,,582,46.35051546390
trunk_link_x_asphalt,trunk_link,asphalt,927,52.17907227620
