id;CountryId;CountryCode;year;Builtup;Pop;GDP
0;0;AGO;0;70317;10982087;11228764963
1;1;BDI;0;3633;5645622;1132101253
2;2;BEN;0;37585;4963830;1959965244
3;3;BFA;0;17199;8727565;3101301781
4;4;BWA;0;13723;1382721;3790567052
5;5;CAF;0;8887;2920033;1440711396
6;6;CIV;0;74635;12036214;10795850107
7;7;CMR;0;43286;11991467;11151578051
8;8;COD;0;109638;34626320;9349764580
9;9;COG;0;13239;2409934;2798746051
10;10;COM;0;1626;341563;250030761
11;11;CPV;0;1758;287174;306891107
12;12;DJI;0;124;507118;452328087
13;13;DZA;0;166772;25667872;62045099643
14;14;EGY;0;289321;55946112;43130416913
15;15;ERI;0;339;3236762;0
16;16;ESH;0;1003;215295;0
17;17;ETH;0;15910;47580197;12175166763
18;18;GAB;0;6627;910746;5952293766
19;19;GHA;0;125028;14457371;5889174825
20;20;GIN;0;27779;5962429;2666616177
21;21;GMB;0;9820;907406;317083374
22;22;GNB;0;4083;1038561;243961996
23;23;GNQ;0;2436;368020;112119407
24;24;KEN;0;12150;23242860;8572359163
25;25;LBR;0;15771;2053841;384400000
26;26;LBY;0;102390;4315790;28901836158
27;27;LSO;0;2631;1571564;596415105
28;28;MAR;0;70610;24682309;30180108562
29;29;MDG;0;10545;11301045;3081479800
30;30;MLI;0;23023;8352763;2681912030
31;31;MOZ;0;43919;12981275;2512079324
32;32;MRT;0;8423;2011388;1019600771
33;33;MUS;0;8437;999523;2653480001
34;34;MWI;0;7152;9441111;1880771556
35;35;NAM;0;6091;1375475;2804379662
36;36;NER;0;16005;7777671;2480673195
37;37;NGA;0;427377;94924931;30757075595
38;38;RWA;0;6660;7238243;2550185618
39;39;SDN;0;40490;19892711;12408647541
40;40;SEN;0;34794;7352728;5716644272
41;41;SLE;0;11767;3830010;649644827
42;42;SOM;0;51108;6158658;1413709147
43;43;SSD;0;5369;5717802;2325193190
44;44;STP;0;21;105921;67264686
45;45;SWZ;0;1881;854619;1114703088
46;46;TCD;0;11299;5997373;1738605558
47;47;TGO;0;17186;3710135;1628427515
48;48;TUN;0;82971;8070883;12290568182
49;49;TZA;0;50571;25215936;4258743263
50;50;UGA;0;20509;17279891;4304398866
51;51;ZAF;0;443327;36563471;115553279481
52;52;ZMB;0;36002;8109253;3285217391
53;53;ZWE;0;26543;10375741;8783816700
54;0;AGO;1;88359;14875559;9129594819
55;1;BDI;1;5755;6792438;870486066
