ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
AGO,127.295,171.984,203.363,232.32,261.469,304.102,369.997,464.994,591.431,750.86,942.049,1160.284,1400.116,1655.046,1917.629,2181.823,2441.164,2687.836
BDI,5.719,7.98,11.816,18.515,29.747,47.267,72.754,107.592,153.043,210.398,279.757,359.927,447.73,540.111,634.341,728.929,822.664,911.779
BEN,15.02,19.378,26.723,38.283,56.012,82.082,118.813,168.465,232.796,312.832,408.131,516.931,636.096,763.855,897.097,1032.755,1167.839,1297.974
BFA,24.921,34.144,48.982,71.961,106.496,155.782,223.38,312.921,426.941,566.422,730.94,918.28,1124.341,1347.203,1582.881,1826.257,2072.622,2315.264
BWA,30.877,38.707,47.195,56.86,67.517,78.903,90.491,101.945,113.06,123.788,133.693,142.268,149.115,154.457,158.3,160.988,162.633,163.043
CAF,3.811,4.983,6.847,9.86,14.601,21.613,31.519,44.885,62.134,83.485,108.793,137.667,169.452,203.713,239.504,275.889,312.175,347.344
CIV,41.008,59.253,94.175,149.694,229.08,332.45,458.868,604.593,767.184,942.174,1124.891,1308.748,1488.787,1665.306,1835.019,1993.679,2138.837,2266.788
CMR,50.073,65.024,88.458,124.026,175.188,243.868,331.538,438.814,566.081,712.204,874.014,1045.072,1218.951,1395.04,1569.146,1737.047,1895.392,2039.167
COD,29.356,44.117,76.517,136.034,237.933,398.47,636.284,966.031,1399.525,1944.8,2601.045,3358.767,4201.616,5110.627,6062.652,7033.325,8003.538,8947.868
COG,22.455,30.143,41.757,57.555,78.402,104.378,135.388,171.163,211.247,254.827,300.218,345.604,389.452,432.079,472.376,509.438,542.589,570.883
COM,0.822,1.016,1.419,2.096,3.133,4.582,6.502,8.944,11.971,15.551,19.56,23.801,28.134,32.652,37.337,42.02,46.515,50.658
CPV,2.124,2.666,3.386,4.326,5.501,6.855,8.325,9.821,11.282,12.672,14.032,15.332,16.547,17.684,18.741,19.71,20.594,21.37
DJI,2.364,3.164,4.376,6.163,8.603,11.689,15.379,19.589,24.177,29.058,34.132,39.192,44.069,48.76,53.14,57.238,61.047,64.441
DZA,310.773,376.244,462.689,559.447,657.912,757.912,873.644,1006.329,1152.002,1310.09,1478.76,1640.135,1786.909,1919.868,2039.507,2150.406,2252.568,2337.104
EGY,529.107,708.512,949.807,1279.657,1706.976,2211.749,2761.102,3326.028,3908.129,4502.855,5087.408,5630.077,6119.94,6562.203,6960.058,7318.164,7631.883,7881.533
ERI,3.187,3.579,4.636,6.429,9.376,13.979,20.892,30.955,44.987,63.763,87.63,116.237,148.845,185.263,224.921,267.196,310.829,353.961
ETH,106.964,148.134,209.408,306.751,457.548,680.036,991.958,1406.961,1932.361,2566.97,3305.192,4137.162,5045.681,6003.999,6984.455,7965.905,8937.663,9878.23
GAB,23.96,27.81,33.598,40.888,49.624,59.67,70.777,82.442,94.307,106.019,117.396,128.076,137.714,146.561,154.268,160.81,166.244,170.467
GHA,55.153,77.543,110.358,158.72,228.643,321.624,438.635,579.069,744.039,933.211,1142.765,1364.375,1588.798,1816.174,2043.044,2263.852,2473.597,2664.392
