Scenario,Country,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP1,AGO,19081912,21832493.27,24583074.54,27217162.39,29851250.25,32178908.45,34506566.66,36376759.48,38246952.3,39608593.9,40970235.5,41820673.31,42671111.12,42983790.79,43296470.46,43090907.07,42885343.67,42210553.47,41535763.27
SSP1,BDI,8382244.466,9553353.877,10724463.29,11703636.2,12682809.11,13488020.76,14293232.42,14932624.8,15572017.18,15972022.75,16372028.32,16518456.29,16664884.26,16578709.51,16492534.76,16213852.34,15935169.93,15511706.24,15088242.56
SSP1,BEN,8849892,10050397.37,11250902.74,12388912.79,13526922.84,14545791.52,15564660.2,16374754.4,17184848.6,17761070.56,18337292.52,18690060.77,19042829.02,19155735.48,19268641.95,19148290.36,19027938.77,18702174.94,18376411.11
SSP1,BFA,16468714,18665141.5,20861569,23022023.04,25182477.08,27208205.65,29233934.22,30881070.96,32528207.69,33717362.89,34906518.08,35714664.65,36522811.22,36961431.22,37400051.21,37496227.58,37592403.95,37368363.73,37144323.52
SSP1,BWA,2006945,2113543.164,2220141.329,2298301.687,2376462.045,2434326.568,2492191.091,2533062.83,2573934.568,2589220.13,2604505.693,2585273.65,2566041.607,2516907.725,2467773.843,2394985.974,2322198.104,2232629.449,2143060.793
SSP1,CAF,4401051,4769063.647,5137076.293,5470455.375,5803834.457,6063269.618,6322704.779,6484567.406,6646430.033,6721316.136,6796202.239,6791897.855,6787593.471,6707010.079,6626426.687,6483486.031,6340545.375,6151854.888,5963164.401
SSP1,CIV,19737800,21125602.31,22513404.62,23582898.91,24652393.21,25406099.14,26159805.07,26548000.93,26936196.78,27019992.06,27103787.35,26994816.72,26885846.09,26573483.35,26261120.6,25755278.91,25249437.21,24580885.74,23912334.27
SSP1,CMR,19598889,21374235.64,23149582.28,24662086.14,26174590,27400117.36,28625644.72,29449617.44,30273590.16,30720578.32,31167566.47,31273781.36,31379996.24,31138095.26,30896194.28,30346381.36,29796568.44,28994410.98,28192253.52
SSP1,COD,65965795,74924318.26,83882841.52,92793265.43,101703689.4,109603669.2,117503649,123772101,130040553,134567238.5,139093924,141981985.6,144870047.3,146078843.7,147287640.1,146941104.9,146594569.6,144855114.4,143115659.2
SSP1,COG,4042899,4508005.339,4973111.677,5397612.718,5822113.758,6190543.218,6558972.678,6833271.991,7107571.305,7286257.657,7464944.009,7545764.006,7626584.004,7605804.065,7585024.127,7472560.869,7360097.611,7168749.019,6977400.426
SSP1,COM,734750,798676.4441,862602.8883,906016.3324,949429.7765,981281.6137,1013133.451,1022751.998,1032370.545,1026934.894,1021499.242,1008958.099,996416.9557,975298.5007,954180.0458,925209.8183,896239.5908,862175.1778,828110.7648
SSP1,CPV,495999,509377.4654,522755.9308,526810.1927,530864.4546,527990.3091,525116.1635,515138.9017,505161.6399,489843.1564,474524.6729,458586.6854,442648.6979,426414.7795,410180.8611,392692.8176,375204.774,355801.6803,336398.5865
SSP1,DJI,888716,960963.6852,1033211.37,1091193.876,1149176.382,1191941.728,1234707.074,1261994.459,1289281.844,1299095.228,1308908.611,1303403.138,1297897.665,1278342.498,1258787.331,1228096.424,1197405.517,1159120.085,1120834.652
SSP1,DZA,35468208,37710641.65,39953075.3,41432526.96,42911978.63,43836709.59,44761440.55,45154916.64,45548392.74,45242743.62,44937094.5,44084311.76,43231529.03,41993812.67,40756096.3,39283402.19,37810708.07,36183790.51,34556872.94
SSP1,EGY,81121077,87251291.4,93381505.79,97924691.91,102467878,105793600.8,109119323.6,111029996.5,112940669.4,113496488.3,114052307.3,113467832.8,112883358.2,111088093.8,109292829.4,106529878.2,103766927,100316181.1,96865435.22
SSP1,ERI,5253676,5993338.203,6733000.407,7379991.785,8026983.162,8625062.926,9223142.69,9687718.642,10152294.59,10451023.43,10749752.26,10902982.22,11056212.18,11058539.01,11060865.84,10932505.4,10804144.97,10563301.27,10322457.57
SSP1,ETH,82949539.74,91882048.96,100814558.2,108968973.7,117123389.1,123530807.9,129938226.8,134722796.6,139507366.5,142573605.9,145639845.3,146993050.9,148346256.5,148023712.7,147701168.9,145753719,143806269.2,140510775,137215280.9
SSP1,GAB,1505463,1621014.721,1736566.442,1831319.629,1926072.816,1994719.911,2063367.006,2105993.566,2148620.126,2166384.675,2184149.224,2177187.877,2170226.529,2138349.845,2106473.16,2052630.085,1998787.01,1929217.54,1859648.07
SSP1,GHA,24391823,26850449.35,29309075.7,31431853.08,33554630.46,35403129.41,37251628.36,38576250.82,39900873.28,40686450.35,41472027.42,41843380.19,42214732.97,42142293.52,42069854.07,41578077.03,41086299.99,40239264.14,39392228.29
SSP1,GIN,9981590,10721313.72,11461037.43,12021789.13,12582540.83,12940878.41,13299216,13431393.39,13563570.78,13521510.11,13479449.43,13377356.12,13275262.82,13124536.48,12973810.14,12763176.45,12552542.76,12283754.23,12014965.71
SSP1,GMB,1728394,1925109.804,2121825.607,2282353.066,2442880.524,2571466.296,2700052.067,2782619.607,2865187.147,2904285.934,2943384.721,2954909.569,2966434.417,2951792.688,2937150.958,2898897.81,2860644.662,2801919.359,2743194.056
SSP1,GNB,1515224,1640001.145,1764778.29,1868222.408,1971666.527,2052798.945,2133931.364,2185517.199,2237103.035,2258955.394,2280807.753,2281430.165,2282052.577,2261713.148,2241373.719,2201781.324,2162188.929,2107835.044,2053481.158
SSP1,GNQ,700401,789808.341,879215.682,964069.0278,1048922.374,1122641.483,1196360.592,1253722.868,1311085.144,1354208.254,1397331.363,1423213.293,1449095.224,1453568.002,1458040.78,1443256.751,1428472.722,1397670.108,1366867.493
SSP1,KEN,40512682,45114359.87,49716037.73,53845147.65,57974257.57,61569562.39,65164867.2,67756265.27,70347663.33,71955064.29,73562465.25,74401007.48,75239549.71,75306954.87,75374360.04,74761046.49,74147732.94,72905278.89,71662824.84
