ISO,CountryConstant
DZA,-4.4
AGO,-62.4
BEN,-35
BWA,-59.2
BFA,-37.455
BDI,-5
CPV,-202
CMR,-110.59
CAF,-7.8
TCD,-63.43
COG,-8.5
CIV,-4.8
COD,-155.86
DJI,-202
EGY,-202
ERI,-2.78
ETH,-72.7
GAB,-202
GMB,-202
GHA,-202
GIN, -77.52
GNQ,-19.1
GNB,-5.015
KEN,-58.35
LSO,-202
LBR,-15
LBY,-202
MDG,-38.7
MWI,-19.1
MLI,-72
MRT,-5
MUS,-0.37
MAR,-11.9
MOZ,-110.9
NAM,-37.11
NER,-30.85
NGA,-214
RWA,-0.24
STP,-0.24
SEN,-29.7
SLE,-9.8
SOM,-38.4
ZAF,-2.3
SDN,-105.281
TGO,-10.3
UGA,-69.5
TUN,-202
TZA,-202
ZMB,-83.5
ZWE,-163.5
SDNSSD,-21.06
SENGMB,-231.7
SC1,-39.07
STP,-202.24
ESH,-202
COM,-202
SWZ,-202
