CountryCode,CountryConstant,ln_fdPop,ln_fdGDPperCap,ln_prevdens
AGO,2.76688,1.026684,0.031045,-0.298752
BDI,3.0815,1.026684,0.031045,-0.298752
BEN,2.48672,1.026684,0.031045,-0.298752
BFA,2.60875,1.026684,0.031045,-0.298752
BWA,2.11483,1.026684,0.031045,-0.298752
CAF,2.76125,1.026684,0.031045,-0.298752
CIV,2.6258,1.026684,0.031045,-0.298752
CMR,2.70748,1.026684,0.031045,-0.298752
COD,2.85127,1.026684,0.031045,-0.298752
COG,2.65674,1.026684,0.031045,-0.298752
COM,2.74979,1.026684,0.031045,-0.298752
CPV,2.758690769,1.026684,0.031045,-0.298752
DJI,2.92949,1.026684,0.031045,-0.298752
DZA,2.69342,1.026684,0.031045,-0.298752
EGY,2.83136,1.026684,0.031045,-0.298752
ERI,3.23872,1.026684,0.031045,-0.298752
ESH,2.95032,1.026684,0.031045,-0.298752
ETH,3.13677,1.026684,0.031045,-0.298752
GAB,2.45535,1.026684,0.031045,-0.298752
GHA,2.49609,1.026684,0.031045,-0.298752
GIN,2.63125,1.026684,0.031045,-0.298752
GMB,2.53524,1.026684,0.031045,-0.298752
GNB,2.74261,1.026684,0.031045,-0.298752
GNQ,2.38771,1.026684,0.031045,-0.298752
KEN,2.93317,1.026684,0.031045,-0.298752
LBR,2.63274,1.026684,0.031045,-0.298752
LBY,2.52906,1.026684,0.031045,-0.298752
LSO,2.87378,1.026684,0.031045,-0.298752
MAR,2.87292,1.026684,0.031045,-0.298752
MDG,2.88215,1.026684,0.031045,-0.298752
MLI,2.46005,1.026684,0.031045,-0.298752
MOZ,2.63614,1.026684,0.031045,-0.298752
MRT,2.74975,1.026684,0.031045,-0.298752
MUS,3.53496,1.026684,0.031045,-0.298752
MWI,2.69723,1.026684,0.031045,-0.298752
NAM,2.7,1.026684,0.031045,-0.298752
NER,2.97256,1.026684,0.031045,-0.298752
NGA,2.61214,1.026684,0.031045,-0.298752
RWA,3.02997,1.026684,0.031045,-0.298752
SDN,2.80879,1.026684,0.031045,-0.298752
SEN,2.7561,1.026684,0.031045,-0.298752
SLE,2.72829,1.026684,0.031045,-0.298752
SOM,3.05716,1.026684,0.031045,-0.298752
SSD,3.18724,1.026684,0.031045,-0.298752
STP,2.758690769,1.026684,0.031045,-0.298752
SWZ,2.86061,1.026684,0.031045,-0.298752
TCD,2.89447,1.026684,0.031045,-0.298752
TGO,2.67936,1.026684,0.031045,-0.298752
TUN,2.49426,1.026684,0.031045,-0.298752
TZA,2.68576,1.026684,0.031045,-0.298752
UGA,2.8822,1.026684,0.031045,-0.298752
ZAF,2.52226,1.026684,0.031045,-0.298752
ZMB,2.46994,1.026684,0.031045,-0.298752
ZWE,2.86952,1.026684,0.031045,-0.298752
AGO,-0.156398,1.130858,0.040332,
BDI,-0.199144,1.130858,0.040332,
