ISO, Constant, inc_Crops, inc_Bare, inc_Urban, inc_Water, inc_MatureForest, w_inc_urban, inv_TT_Cities, w_MapSpam_arable_itpd
General, 0.0, 1.0, 0.1, -1, 0, 0, 0, 0, 0.0
TUN, 0.0, 1.0, 0.1, -1, 0, 0, 0, 0, 0.002
NER, 0.0, 1.0, 0.1, -1, 0, 0, 0, 0, 0.002
MLI, 0.0, 1.0, 0.1, -1, -1, 0, 0, 0, 0.005
NGA, 0.0, 1.0, 0.1, -1, -1, 0, 0, 0, 0.002
CIV, 0.0, 0.8, 0.1, -1, -1, 0.2, 0, 0.5, 0.01
BFA, 0.0, 1.0, 0.1, -1, -1, -0.5, 0, 0, 0.03
CMR, 0.0, 1.0, 0.1, 0, 0, 0.5, 0.1, 0.2, 0.0
GIN, 0.0, 1.0, 0.1, -1, 0, 0.5, 1.0, 0.8, 0.002
SLE, 0.0, 1.0, 0.1, -1, 0, 0.5, 1.0, 0.8, 0.0
