"ISO","Constant","static_inv_TT_Cities","EcoRegionId","GHS_dPop_00_15","MapSpam_arable","MapSpam_permacrops","relpotaccess_2000","crops_fract","grass_fract","shrubs_fract","reltri","w_shrubs_fract","w_reltri","w_inv_TT_Cities"
"AGO",-6.11277014869273,-3.55883539308485,0.0062828150061573,-0.000137150037031264,-0.0595151422904827,0.0404561496865556,-0.251685837749063,-0.00505350713733368,0,0.0427046899652132,-2.22355733111356,0.161298932732087,1.43271619261591,4.83668487956359
"BDI",-2.38490258609535,0,0,0,0.00423279471548184,-0.0119073030721804,0.28948082732554,-0.0917707599199387,0.024098332089985,0,1.21928135805246,0,2.76621361727712,0
"BEN",4.3762375794259,0,-0.00367356743529027,0,0,-0.0499896648771643,-2.61616461415915,-0.011612001814738,0.125465450579998,0,-2.49310232511669,-0.670276802523693,-25.9464331235096,3.01660607138628
"BFA",268.153691728103,0,-0.337602470263302,-0.000163769784528783,-0.0114730755919658,-0.0437508018821914,0.437645112352296,-0.0289211918041012,0.0121505995766477,0,0,-0.237877640886833,-13.2400419370916,-6.21020615658817
"BWA",-3.21775589194457,-1.44066086512041,0.00623033734094015,-0.00183311436938488,-0.00968586787671125,2.32467578817028,-0.059304449120726,-0.0359197547115145,0.0384254700679485,0.109283572990117,-1.84409136800017,-0.0301959124271926,-27.7757094369316,0
"CAF",-28518422065909876,-6772886370999409,35709909755672.4,465143788871.249,-28032014795239,83361371229500.8,-772571995190876,-24637106367501.9,24531785263201.9,0,-1460800640440235,-242598973059091,-2128565103416003,29389511822829456
"CIV",7.74755925326409,0,-0.00687547300944194,0,-0.030509590504922,-0.463220447066129,-8.83167007425469,0,0.0349175313434338,0,0,-0.225306880324245,-78.4493505947748,6.30042751358111
"CMR",-2.35261032070724,0,0.00111415607541327,0,0.0384991936214366,-0.138303152777599,-0.292793130475388,-0.0204497960496914,0.0841251390749621,0,-9.25219453703168,-1.90404761470094,-39.813373014911,0
"COD",-4.02176822347825,0,-0.00169309975769922,-0.000410096891238244,-0.120921691980526,0.10390787028799,-0.223497654879251,-0.0588841790152248,0.100498235629315,0,-5.25748638328488,-0.101903442518399,-3.44166413054758,3.9625390297015
"COG",-8.24182758704118,0,0,0,0,0,0,-12.4109387084694,0.0749411135975222,0,0,0,-39.7921258284945,0
"DJI",-0.491957243129497,0,0,0,0.0692889708580808,0,0,-0.172412323067105,-0.0461819289046577,0.197395903058227,0,0.086855060630409,4.79172726660038,-4.82023576608503
"DZA",-1.8729094429098,-1.62895471723193,0.00224748768439405,-0.000383479634592979,0.0269416594197307,-0.0537114298798654,-0.136871996609539,-0.138691228464488,0.00472719510302741,0.124958634656911,1.80779328352411,-0.152077249708164,0,0
"EGY",-2.62657326786186,0.303752269792396,0,5.40721447985543e-05,-0.00891815836994689,0,0,0.0165444879224079,-0.106337939988101,0.101973815987124,0,-0.0344930652674405,26.6473782128519,0
"ERI",-0.57915926702568,0,0.00101840474277301,0,0,-0.0161267782310641,-0.0994884207732419,-0.0373426286762822,-0.0370574873567264,0.0732206390728715,1.20612218415318,0,5.15677430916853,0
"ESH",-4.57293829268268,-1162.22422613174,0,-1.70248729095294,0,0,1.00367765996481,0.19842606330929,-0.312097101970044,0,0,0,0,1879.98009335403
"ETH",-1.30458628517408,0.177623893170034,0.00203341824545704,1.83257351255371e-05,0.00395975802026492,-0.112185049073218,-0.423531253415599,0,0.0160077617940525,0.035621291697226,0.439863243808292,0.0892129576674227,-0.711107684496815,0.456381092462858
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",-30.7028942739616,0,0.0406734669891029,-0.000269196835610689,0,0.00290447038890937,-2.61704804833217,-0.0417677328460615,0.0940516146812246,-0.0637357890902817,0,-0.16328574430547,-16.2031070208296,0
"GIN",-8.8355237320424,0,0.00799633395325521,0,0.109831290058499,-0.365949873366674,-0.408044935339375,-0.0220998466794656,0.0542872005775762,0,-9.26572009944895,-0.261833476217286,-33.9183620630986,2.63314572118316
"GNB",-3.34436076808331,0,-0.0059146544638795,0,-0.937238316309524,0.853870470416158,0.959251916932153,0,0,0,0,-95.2169353976018,0,0
"GNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
