Transition,From,To,FromClass,ToClass,Cost
UrbanToUrban,0,0,Urban,Urban,-1000
UrbanToCrops,0,1,Urban,Crops,1000
UrbanToPermanentCrops,0,2,Urban,PermanentCrops,1000
UrbanToMatureForest,0,3,Urban,MatureForest,1000
UrbanToYoungForest,0,4,Urban,YoungForest,1000
UrbanToShrubs,0,5,Urban,Shrubs,1000
UrbanToHerbaceous,0,6,Urban,Herbaceous,1000
UrbanToCocoa,0,7,Urban,Cocoa,1000
CropsToUrban,1,0,Crops,Urban,128.663
CropsToCrops,1,1,Crops,Crops,-408.084
CropsToPermanentCrops,1,2,Crops,PermanentCrops,358.921
CropsToMatureForest,1,3,Crops,MatureForest,452.11
CropsToYoungForest,1,4,Crops,YoungForest,452.11
CropsToShrubs,1,5,Crops,Shrubs,452.11
CropsToHerbaceous,1,6,Crops,Herbaceous,452.11
CropsToCocoa,1,7,Crops,Cocoa,330.818
PermanentCropsToUrban,2,0,PermanentCrops,Urban,364.571
PermanentCropsToCrops,2,1,PermanentCrops,Crops,269.483
PermanentCropsToPermanentCrops,2,2,PermanentCrops,PermanentCrops,-396.243
PermanentCropsToMatureForest,2,3,PermanentCrops,MatureForest,462.341
PermanentCropsToYoungForest,2,4,PermanentCrops,YoungForest,462.341
PermanentCropsToShrubs,2,5,PermanentCrops,Shrubs,462.341
PermanentCropsToHerbaceous,2,6,PermanentCrops,Herbaceous,462.341
PermanentCropsToCocoa,2,7,PermanentCrops,Cocoa,487.304
MatureForestToUrban,3,0,MatureForest,Urban,289.11
MatureForestToCrops,3,1,MatureForest,Crops,161.13
MatureForestToPermanentCrops,3,2,MatureForest,PermanentCrops,246.898
MatureForestToMatureForest,3,3,MatureForest,MatureForest,-25.9744
MatureForestToYoungForest,3,4,MatureForest,YoungForest,0
MatureForestToShrubs,3,5,MatureForest,Shrubs,0
MatureForestToHerbaceous,3,6,MatureForest,Herbaceous,0
MatureForestToCocoa,3,7,MatureForest,Cocoa,22.6357
YoungForestToUrban,4,0,YoungForest,Urban,289.11
YoungForestToCrops,4,1,YoungForest,Crops,161.13
YoungForestToPermanentCrops,4,2,YoungForest,PermanentCrops,246.898
YoungForestToMatureForest,4,3,YoungForest,MatureForest,0
YoungForestToYoungForest,4,4,YoungForest,YoungForest,-25.9744
YoungForestToShrubs,4,5,YoungForest,Shrubs,0
YoungForestToHerbaceous,4,6,YoungForest,Herbaceous,0
YoungForestToCocoa,4,7,YoungForest,Cocoa,22.6357
ShrubsToUrban,5,0,Shrubs,Urban,144.555
ShrubsToCrops,5,1,Shrubs,Crops,80.565
ShrubsToPermanentCrops,5,2,Shrubs,PermanentCrops,123.449
ShrubsToMatureForest,5,3,Shrubs,MatureForest,22.6357
ShrubsToYoungForest,5,4,Shrubs,YoungForest,22.6357
ShrubsToShrubs,5,5,Shrubs,Shrubs,-50
ShrubsToHerbaceous,5,6,Shrubs,Herbaceous,0
ShrubsToCocoa,5,7,Shrubs,Cocoa,11.31785
HerbaceousToUrban,6,0,Herbaceous,Urban,144.555
HerbaceousToCrops,6,1,Herbaceous,Crops,80.565
HerbaceousToPermanentCrops,6,2,Herbaceous,PermanentCrops,123.449
HerbaceousToMatureForest,6,3,Herbaceous,MatureForest,22.6357
HerbaceousToYoungForest,6,4,Herbaceous,YoungForest,22.6357
HerbaceousToShrubs,6,5,Herbaceous,Shrubs,0
HerbaceousToHerbaceous,6,6,Herbaceous,Herbaceous,-50
HerbaceousToCocoa,6,7,Herbaceous,Cocoa,11.31785
CocoaToUrban,7,0,Cocoa,Urban,470.884
CocoaToCrops,7,1,Cocoa,Crops,83.7151
CocoaToPermanentCrops,7,2,Cocoa,PermanentCrops,27.2527
CocoaToMatureForest,7,3,Cocoa,MatureForest,422.301
CocoaToYoungForest,7,4,Cocoa,YoungForest,422.301
CocoaToShrubs,7,5,Cocoa,Shrubs,211.1505
CocoaToHerbaceous,7,6,Cocoa,Herbaceous,211.1505
CocoaToCocoa,7,7,Cocoa,Cocoa,-168.553
