Transition,From,To,FromClass,ToClass,Cost
UrbanToUrban,0,0,Urban,Urban,-1000
UrbanToCrops,0,1,Urban,Crops,1000
UrbanToPermanentCrops,0,2,Urban,PermanentCrops,1000
UrbanToMatureForest,0,3,Urban,MatureForest,1000
UrbanToYoungForest,0,4,Urban,YoungForest,1000
UrbanToShrubs,0,5,Urban,Shrubs,1000
UrbanToHerbaceous,0,6,Urban,Herbaceous,1000
UrbanToCocoa,0,7,Urban,Cocoa,1000
CropsToUrban,1,0,Crops,Urban,296.591
CropsToCrops,1,1,Crops,Crops,-212.915
CropsToPermanentCrops,1,2,Crops,PermanentCrops,432.978
CropsToMatureForest,1,3,Crops,MatureForest,123.314
CropsToYoungForest,1,4,Crops,YoungForest,123.314
CropsToShrubs,1,5,Crops,Shrubs,61.657
CropsToHerbaceous,1,6,Crops,Herbaceous,61.657
CropsToCocoa,1,7,Crops,Cocoa,288.618
PermanentCropsToUrban,2,0,PermanentCrops,Urban,461.005
PermanentCropsToCrops,2,1,PermanentCrops,Crops,141.175
PermanentCropsToPermanentCrops,2,2,PermanentCrops,PermanentCrops,-466.257
PermanentCropsToMatureForest,2,3,PermanentCrops,MatureForest,142.996
PermanentCropsToYoungForest,2,4,PermanentCrops,YoungForest,142.996
PermanentCropsToShrubs,2,5,PermanentCrops,Shrubs,71.498
PermanentCropsToHerbaceous,2,6,PermanentCrops,Herbaceous,71.498
PermanentCropsToCocoa,2,7,PermanentCrops,Cocoa,58.7436
MatureForestToUrban,3,0,MatureForest,Urban,21.57
MatureForestToCrops,3,1,MatureForest,Crops,71.6368
MatureForestToPermanentCrops,3,2,MatureForest,PermanentCrops,460.979
MatureForestToMatureForest,3,3,MatureForest,MatureForest,-91.8571
MatureForestToYoungForest,3,4,MatureForest,YoungForest,-91.8571
MatureForestToShrubs,3,5,MatureForest,Shrubs,50
MatureForestToHerbaceous,3,6,MatureForest,Herbaceous,50
MatureForestToCocoa,3,7,MatureForest,Cocoa,73.9921
YoungForestToUrban,4,0,YoungForest,Urban,21.57
YoungForestToCrops,4,1,YoungForest,Crops,71.6368
YoungForestToPermanentCrops,4,2,YoungForest,PermanentCrops,460.979
YoungForestToMatureForest,4,3,YoungForest,MatureForest,-91.8571
YoungForestToYoungForest,4,4,YoungForest,YoungForest,-91.8571
YoungForestToShrubs,4,5,YoungForest,Shrubs,50
YoungForestToHerbaceous,4,6,YoungForest,Herbaceous,50
YoungForestToCocoa,4,7,YoungForest,Cocoa,73.9921
ShrubsToUrban,5,0,Shrubs,Urban,10.785
ShrubsToCrops,5,1,Shrubs,Crops,35.8184
ShrubsToPermanentCrops,5,2,Shrubs,PermanentCrops,230.4895
ShrubsToMatureForest,5,3,Shrubs,MatureForest,20
ShrubsToYoungForest,5,4,Shrubs,YoungForest,20
ShrubsToShrubs,5,5,Shrubs,Shrubs,-22.964275
ShrubsToHerbaceous,5,6,Shrubs,Herbaceous,20
ShrubsToCocoa,5,7,Shrubs,Cocoa,36.99605
HerbaceousToUrban,6,0,Herbaceous,Urban,10.785
HerbaceousToCrops,6,1,Herbaceous,Crops,35.8184
HerbaceousToPermanentCrops,6,2,Herbaceous,PermanentCrops,230.4895
HerbaceousToMatureForest,6,3,Herbaceous,MatureForest,20
HerbaceousToYoungForest,6,4,Herbaceous,YoungForest,20
HerbaceousToShrubs,6,5,Herbaceous,Shrubs,20
HerbaceousToHerbaceous,6,6,Herbaceous,Herbaceous,-22.964275
HerbaceousToCocoa,6,7,Herbaceous,Cocoa,36.99605
CocoaToUrban,7,0,Cocoa,Urban,362.662
CocoaToCrops,7,1,Cocoa,Crops,258.337
CocoaToPermanentCrops,7,2,Cocoa,PermanentCrops,41.8449
CocoaToMatureForest,7,3,Cocoa,MatureForest,128.755
CocoaToYoungForest,7,4,Cocoa,YoungForest,128.755
CocoaToShrubs,7,5,Cocoa,Shrubs,64.3775
CocoaToHerbaceous,7,6,Cocoa,Herbaceous,64.3775
CocoaToCocoa,7,7,Cocoa,Cocoa,-332.515
