Transition,From,To,FromClass,ToClass,Cost
UrbanToUrban,0,0,Urban,Urban,-67.5
UrbanToCrops,0,1,Urban,Crops,31.32
UrbanToPermanentCrops,0,2,Urban,PermanentCrops,33.61
UrbanToMatureForest,0,3,Urban,MatureForest,1000.0
UrbanToYoungForest,0,4,Urban,YoungForest,30
UrbanToShrubs,0,5,Urban,Shrubs,30
UrbanToHerbaceous,0,6,Urban,Herbaceous,30.32
UrbanToCocoa,0,7,Urban,Cocoa,33.61
CropsToUrban,1,0,Crops,Urban,10.18
CropsToCrops,1,1,Crops,Crops,-4.56
CropsToPermanentCrops,1,2,Crops,PermanentCrops,7.26
CropsToMatureForest,1,3,Crops,MatureForest,1000.0
CropsToYoungForest,1,4,Crops,YoungForest,0.04
CropsToShrubs,1,5,Crops,Shrubs,0.04
CropsToHerbaceous,1,6,Crops,Herbaceous,0.04
CropsToCocoa,1,7,Crops,Cocoa,7.26
PermanentCropsToUrban,2,0,PermanentCrops,Urban,10.18
PermanentCropsToCrops,2,1,PermanentCrops,Crops,3.45
PermanentCropsToPermanentCrops,2,2,PermanentCrops,PermanentCrops,-17.3
PermanentCropsToMatureForest,2,3,PermanentCrops,MatureForest,1000.0
PermanentCropsToYoungForest,2,4,PermanentCrops,YoungForest,0.81
PermanentCropsToShrubs,2,5,PermanentCrops,Shrubs,0.81
PermanentCropsToHerbaceous,2,6,PermanentCrops,Herbaceous,0.81
PermanentCropsToCocoa,2,7,PermanentCrops,Cocoa,-17.3
MatureForestToUrban,3,0,MatureForest,Urban,10.18
MatureForestToCrops,3,1,MatureForest,Crops,3.45
MatureForestToPermanentCrops,3,2,MatureForest,PermanentCrops,8.03
MatureForestToMatureForest,3,3,MatureForest,MatureForest,-2.82
MatureForestToYoungForest,3,4,MatureForest,YoungForest,0.0
MatureForestToShrubs,3,5,MatureForest,Shrubs,0.81
MatureForestToHerbaceous,3,6,MatureForest,Herbaceous,0.81
MatureForestToCocoa,3,7,MatureForest,Cocoa,8.03
YoungForestToUrban,4,0,YoungForest,Urban,10.18
YoungForestToCrops,4,1,YoungForest,Crops,3.45
YoungForestToPermanentCrops,4,2,YoungForest,PermanentCrops,8.03
YoungForestToMatureForest,4,3,YoungForest,MatureForest,1000.0
YoungForestToYoungForest,4,4,YoungForest,YoungForest,-2.82
YoungForestToShrubs,4,5,YoungForest,Shrubs,0.81
YoungForestToHerbaceous,4,6,YoungForest,Herbaceous,0.81
YoungForestToCocoa,4,7,YoungForest,Cocoa,8.03
ShrubsToUrban,5,0,Shrubs,Urban,10.18
ShrubsToCrops,5,1,Shrubs,Crops,2.91
ShrubsToPermanentCrops,5,2,Shrubs,PermanentCrops,7.49
ShrubsToMatureForest,5,3,Shrubs,MatureForest,1000.0
ShrubsToYoungForest,5,4,Shrubs,YoungForest,0.27
ShrubsToShrubs,5,5,Shrubs,Shrubs,-1
ShrubsToHerbaceous,5,6,Shrubs,Herbaceous,0.27
ShrubsToCocoa,5,7,Shrubs,Cocoa,7.49
HerbaceousToUrban,6,0,Herbaceous,Urban,10.18
HerbaceousToCrops,6,1,Herbaceous,Crops,2.91
HerbaceousToPermanentCrops,6,2,Herbaceous,PermanentCrops,7.49
HerbaceousToMatureForest,6,3,Herbaceous,MatureForest,1000.0
HerbaceousToYoungForest,6,4,Herbaceous,YoungForest,0.27
HerbaceousToShrubs,6,5,Herbaceous,Shrubs,0.27
HerbaceousToHerbaceous,6,6,Herbaceous,Herbaceous,-1
HerbaceousToCocoa,6,7,Herbaceous,Cocoa,7.49
CocoaToUrban,7,0,Cocoa,Urban,10.18
CocoaToCrops,7,1,Cocoa,Crops,3.45
CocoaToPermanentCrops,7,2,Cocoa,PermanentCrops,1000.0
CocoaToMatureForest,7,3,Cocoa,MatureForest,1000.0
CocoaToYoungForest,7,4,Cocoa,YoungForest,0.81
CocoaToShrubs,7,5,Cocoa,Shrubs,0.81
CocoaToHerbaceous,7,6,Cocoa,Herbaceous,0.81
CocoaToCocoa,7,7,Cocoa,Cocoa,0.81
